2005, MIL, NL, 8, 7, 5, 1, 1, 1, 0, 0, 0, 2, 0, 0, 0, 0, .200, .429, .400, .829, 
2006, TEX, AL, 41, 138, 130, 15, 29, 3, 0, 6, 22, 7, 32, 1, 0, 0, .223, .261, .385, .645, 
2007, TEX, AL, 96, 333, 307, 35, 72, 15, 2, 9, 34, 21, 87, 2, 4, 2, .235, .287, .384, .671, 
2008, TEX, AL, 31, 133, 115, 19, 38, 9, 1, 7, 26, 17, 28, 3, 1, 1, .330, .421, .609, 1.030, 
2009, TEX, AL, 128, 515, 462, 75, 120, 21, 1, 33, 76, 49, 118, 20, 4, 2, .260, .332, .524, .856, 
2010, TEX, AL, 108, 445, 399, 60, 127, 31, 3, 22, 78, 38, 81, 17, 4, 1, .318, .374, .576, .950, 
2011, TEX, AL, 124, 513, 475, 64, 125, 28, 1, 29, 87, 33, 116, 9, 5, 2, .263, .312, .509, .821, 
2012, TEX, AL, 159, 642, 585, 86, 152, 45, 0, 24, 90, 48, 140, 8, 4, 5, .260, .319, .460, .779, 
2013, TEX, AL, 109, 456, 413, 49, 110, 18, 0, 27, 76, 35, 109, 5, 1, 4, .266, .327, .506, .833, 
2014, BAL, AL, 159, 678, 613, 87, 166, 32, 2, 40, 108, 55, 140, 4, 5, 5, .271, .333, .525, .859, 
2015, SEA, AL, 152, 655, 590, 90, 178, 22, 1, 44, 93, 59, 164, 3, 2, 5, .302, .369, .566, .936, 
2016, SEA, AL, 155, 667, 589, 96, 169, 27, 1, 43, 105, 62, 159, 2, 0, 9, .287, .360, .555, .915, 
2017, SEA, AL, 155, 645, 556, 91, 160, 28, 0, 39, 119, 70, 140, 1, 1, 12, .288, .375, .549, .924, 
2018, SEA, AL, 144, 591, 519, 70, 133, 18, 1, 37, 97, 55, 122, 1, 0, 14, .256, .342, .509, .850, 
2019, MIN, AL, 120, 521, 454, 81, 141, 26, 0, 41, 108, 56, 131, 0, 1, 7, .311, .392, .639, 1.031, 
2020, MIN, AL, 28, 111, 97, 20, 32, 4, 0, 9, 25, 11, 27, 0, 0, 3, .330, .414, .649, 1.064, 
16 Seasons, 1716, 7049, 6308, 939, 1753, 328, 13, 410, 1144, 618, 1594, 76, 32, 72, .278, .347, .529, .876, 
2005, MIL, NL, 7, 2, 0, 0, 0, .200, 1, 0, 0, 30, 4.286, .000, .000, .---, .200, .200, 0, 
2006, TEX, AL, 138, 50, 47, 0, 1, .247, 9, 1, 16, 543, 3.935, .232, .043, .219, .162, .162, 0, 
2007, TEX, AL, 333, 118, 130, 1, 1, .297, 26, 5, 38, 1321, 3.967, .261, .027, .241, .150, .150, 1, 
2008, TEX, AL, 133, 70, 48, 0, 0, .388, 17, 1, 19, 496, 3.729, .211, .053, .607, .278, .278, 0, 
2009, TEX, AL, 515, 242, 183, 0, 2, .278, 55, 9, 56, 2012, 3.907, .229, .064, .415, .264, .264, 0, 
2010, TEX, AL, 445, 230, 186, 1, 6, .348, 56, 12, 70, 1709, 3.840, .182, .049, .469, .258, .258, 4, 
2011, TEX, AL, 513, 242, 213, 0, 3, .288, 58, 8, 63, 1997, 3.893, .226, .057, .284, .246, .246, 0, 
2012, TEX, AL, 642, 269, 250, 0, 4, .301, 69, 7, 73, 2466, 3.841, .218, .037, .343, .200, .200, 1, 
2013, TEX, AL, 456, 209, 165, 0, 4, .295, 45, 14, 58, 1797, 3.941, .239, .059, .321, .240, .240, 0, 
2014, BAL, AL, 678, 322, 270, 0, 5, .288, 74, 17, 94, 2530, 3.732, .206, .059, .393, .254, .254, 0, 
2015, SEA, AL, 655, 334, 233, 0, 1, .350, 67, 6, 63, 2632, 4.018, .250, .067, .360, .264, .264, 2, 
2016, SEA, AL, 667, 327, 273, 0, 7, .320, 71, 15, 91, 2732, 4.096, .238, .064, .390, .268, .268, 0, 
2017, SEA, AL, 645, 305, 224, 0, 7, .315, 67, 15, 89, 2474, 3.836, .217, .060, .500, .261, .261, 3, 
2018, SEA, AL, 591, 264, 230, 0, 3, .264, 56, 15, 77, 2282, 3.861, .206, .063, .451, .252, .252, 0, 
2019, MIN, AL, 521, 290, 170, 0, 3, .351, 67, 14, 78, 2114, 4.058, .251, .079, .427, .328, .328, 0, 
2020, MIN, AL, 111, 63, 33, 0, 0, .377, 13, 2, 15, 431, 3.883, .243, .081, .407, .320, .320, 1, 
7049, 3337, 2654, 2, 47, .309, 751, 141, 899, 27560, 3.910, .226, .058, .388, .251, .251, 12, 
