Season, Tm, LG, G, PA, AB, R, H, 2B, 3B, HR, RBI, BB, SO, SB, CS, HBP, AVG, OBP, SLG, OPS, TB, LOB, SAC, SF, BABIP, XBH, GIDP, GIDPO, NP, P/PA, K/PA, HR/PA, BB/K, ISO, ROE, WO
2017, LAD, NL, 3, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, .000, .000, .000, .000, 0, 0, 0, 0, .000, 0, 0, 0, 2, 2.000, .000, .000, .---, .000, .000, 0
2018, LAD, NL, 18, 14, 11, 6, 2, 1, 0, 0, 0, 2, 5, 4, 0, 1, .182, .357, .273, .630, 3, 5, 0, 0, .333, 1, 0, 1, 53, 3.786, .357, .000, .400, .091, .091, 0
2019, ARI, NL, 91, 250, 212, 38, 53, 12, 2, 1, 17, 14, 44, 17, 0, 22, .250, .357, .340, .697, 72, 92, 1, 1, .310, 15, 1, 27, 983, 3.932, .176, .004, .318, .090, .090, 3
2020, ARI, NL, 27, 58, 49, 11, 12, 3, 1, 1, 4, 6, 12, 3, 0, 2, .245, .351, .408, .759, 20, 10, 1, 0, .306, 5, 0, 5, 233, 4.017, .207, .017, .500, .163, .163, 0
4 Seasons, 138, 320, 270, 55, 66, 16, 3, 2, 21, 22, 61, 25, 0, 25, .244, .355, .348, .703, 320, 94, 106, 2, 1, .308, 21, 1, 33, 1259, 3.934, .191, .006, .361, .104, .104, 3
