2010, ATL, NL, 142, 623, 520, 83, 144, 29, 5, 18, 72, 91, 128, 11, 6, 10, .277, .393, .456, .849, 
2011, ATL, NL, 128, 456, 396, 50, 90, 18, 2, 14, 42, 51, 93, 9, 2, 4, .227, .319, .389, .708, 
2012, ATL, NL, 158, 651, 587, 93, 158, 30, 6, 27, 82, 58, 152, 21, 8, 2, .269, .335, .479, .814, 
2013, ATL, NL, 104, 440, 382, 67, 97, 22, 1, 14, 38, 48, 73, 2, 4, 8, .254, .349, .427, .776, 
2014, ATL, NL, 149, 649, 573, 74, 155, 26, 3, 11, 58, 67, 98, 20, 4, 6, .271, .351, .384, .735, 
2015, STL, NL, 154, 610, 547, 79, 160, 33, 4, 13, 60, 56, 90, 23, 3, 2, .293, .359, .439, .797, 
2016, CHC, NL, 142, 592, 530, 61, 122, 27, 1, 7, 49, 54, 93, 11, 4, 5, .230, .306, .325, .631, 
2017, CHC, NL, 126, 481, 432, 59, 112, 15, 4, 11, 59, 41, 67, 4, 4, 3, .259, .326, .389, .715, 
2018, CHC, NL, 127, 489, 440, 67, 119, 23, 4, 8, 57, 42, 60, 1, 1, 2, .270, .335, .395, .731, 
2019, CHC, NL, 147, 589, 513, 78, 129, 20, 4, 21, 62, 68, 110, 8, 3, 5, .251, .343, .429, .772, 
2020, CHC, NL, 22, 75, 63, 11, 16, 2, 1, 2, 12, 10, 12, 1, 0, 1, .254, .360, .413, .773, 
11 Seasons, 1399, 5655, 4983, 722, 1302, 245, 35, 146, 591, 586, 976, 111, 39, 48, .261, .343, .412, .756, 
2010, ATL, NL, 623, 237, 198, 0, 2, .335, 52, 13, 85, 2588, 4.154, .205, .029, .711, .179, .179, 3, 
2011, ATL, NL, 456, 154, 163, 0, 3, .260, 34, 7, 56, 1794, 3.934, .204, .031, .548, .162, .162, 0, 
2012, ATL, NL, 651, 281, 261, 0, 3, .319, 63, 4, 109, 2624, 4.031, .233, .041, .382, .210, .210, 1, 
2013, ATL, NL, 440, 163, 122, 1, 0, .281, 37, 7, 58, 1791, 4.070, .166, .032, .658, .173, .173, 0, 
2014, ATL, NL, 649, 220, 189, 0, 3, .308, 40, 2, 66, 2548, 3.926, .151, .017, .684, .113, .113, 0, 
2015, STL, NL, 610, 240, 240, 0, 3, .329, 50, 13, 124, 2348, 3.849, .148, .021, .622, .146, .146, 0, 
2016, CHC, NL, 592, 172, 244, 1, 2, .266, 35, 12, 102, 2281, 3.853, .157, .012, .581, .094, .094, 1, 
2017, CHC, NL, 481, 168, 203, 2, 2, .284, 30, 8, 70, 1729, 3.595, .139, .023, .612, .130, .130, 0, 
2018, CHC, NL, 489, 174, 184, 2, 2, .297, 35, 7, 89, 1830, 3.742, .123, .016, .700, .125, .125, 1, 
2019, CHC, NL, 589, 220, 192, 0, 3, .281, 45, 12, 76, 2231, 3.788, .187, .036, .618, .177, .177, 1, 
2020, CHC, NL, 75, 26, 23, 0, 1, .280, 5, 1, 9, 328, 4.373, .160, .027, .833, .159, .159, 0, 
5655, 2055, 2019, 6, 24, .298, 426, 86, 844, 22092, 3.907, .173, .026, .600, .151, .151, 7, 
