2011, CIN, NL, 41, 121, 112, 17, 26, 5, 0, 6, 15, 7, 27, 1, 0, 2, .232, .289, .438, .727, 
2012, CIN, NL, 128, 465, 422, 55, 115, 26, 6, 19, 67, 36, 103, 3, 2, 3, .273, .331, .498, .829, 
2013, CIN, NL, 150, 600, 531, 63, 124, 29, 3, 19, 73, 50, 125, 6, 5, 14, .234, .314, .407, .721, 
2014, CIN, NL, 157, 660, 597, 88, 163, 22, 1, 29, 80, 52, 139, 20, 8, 7, .273, .336, .459, .795, 
2015, CIN, NL, 157, 678, 619, 82, 158, 43, 1, 35, 89, 44, 137, 13, 8, 7, .255, .309, .498, .806, 
2016, CWS, AL, 158, 666, 590, 89, 133, 21, 0, 40, 98, 64, 163, 15, 5, 4, .225, .302, .464, .767, 
2017, 2 Teams, 147, 576, 474, 74, 101, 19, 1, 27, 76, 83, 125, 4, 3, 14, .213, .344, .428, .772, 
2017, CWS, AL, 81, 335, 280, 41, 58, 15, 0, 16, 44, 48, 71, 4, 3, 4, .207, .328, .432, .761, 
2017, NYY, AL, 66, 241, 194, 33, 43, 4, 1, 11, 32, 35, 54, 0, 0, 10, .222, .365, .423, .788, 
2018, NYM, NL, 115, 472, 408, 54, 87, 18, 0, 18, 59, 48, 112, 9, 4, 8, .213, .303, .390, .693, 
2019, NYM, NL, 133, 499, 447, 63, 112, 19, 2, 21, 67, 40, 106, 1, 2, 12, .251, .329, .443, .772, 
2020, TEX, AL, 25, 97, 86, 11, 22, 7, 0, 2, 5, 8, 19, 1, 0, 3, .256, .340, .407, .747, 
10 Seasons, 1211, 4834, 4286, 596, 1041, 209, 14, 216, 629, 432, 1056, 73, 37, 74, .243, .320, .449, .770, 
2011, CIN, NL, 121, 49, 45, 0, 0, .253, 11, 2, 12, 462, 3.818, .223, .050, .259, .205, .205, 0, 
2012, CIN, NL, 465, 210, 184, 0, 4, .316, 51, 9, 69, 1810, 3.892, .222, .041, .350, .225, .225, 1, 
2013, CIN, NL, 600, 216, 228, 2, 3, .269, 51, 14, 73, 2297, 3.828, .208, .032, .400, .173, .173, 1, 
2014, CIN, NL, 660, 274, 252, 0, 4, .309, 52, 9, 77, 2555, 3.871, .211, .044, .374, .186, .186, 1, 
2015, CIN, NL, 678, 308, 308, 1, 7, .271, 79, 19, 127, 2565, 3.783, .202, .052, .321, .242, .242, 1, 
2016, CWS, AL, 666, 274, 265, 1, 7, .236, 61, 11, 78, 2766, 4.153, .245, .060, .393, .239, .239, 1, 
2017, 2 Teams, 576, 203, 243, 0, 5, .226, 47, 10, 70, 2493, 4.328, .217, .047, .664, .215, .215, 0, 
2017, CWS, AL, 335, 121, 131, 0, 3, .214, 31, 4, 35, 1498, 4.472, .212, .048, .676, .225, .225, 0, 
2017, NYY, AL, 241, 82, 112, 0, 2, .244, 16, 6, 35, 995, 4.129, .224, .046, .648, .201, .201, 0, 
2018, NYM, NL, 472, 159, 174, 0, 8, .241, 36, 10, 67, 2010, 4.258, .237, .038, .429, .176, .176, 1, 
2019, NYM, NL, 499, 198, 200, 0, 0, .284, 42, 9, 62, 1991, 3.990, .212, .042, .377, .192, .192, 0, 
2020, TEX, AL, 97, 35, 26, 0, 0, .308, 9, 0, 9, 409, 4.216, .196, .021, .421, .151, .151, 0, 
4834, 1926, 1925, 4, 38, .270, 439, 93, 644, 19358, 4.005, .218, .045, .409, .206, .206, 6, 
