2009, BOS, AL, 27, 62, 59, 5, 10, 4, 0, 2, 4, 2, 17, 0, 0, 1, .169, .210, .339, .549, 
2010, BOS, AL, 29, 63, 62, 5, 12, 3, 1, 1, 5, 1, 15, 1, 0, 0, .194, .206, .323, .529, 
2011, BOS, AL, 87, 278, 254, 41, 71, 18, 3, 7, 28, 19, 50, 1, 2, 1, .280, .327, .457, .784, 
2012, OAK, AL, 156, 673, 611, 85, 148, 29, 5, 32, 85, 55, 151, 11, 1, 2, .242, .305, .463, .768, 
2013, OAK, AL, 114, 441, 385, 54, 87, 19, 2, 12, 56, 46, 86, 9, 2, 2, .226, .307, .379, .686, 
2014, OAK, AL, 109, 396, 363, 53, 96, 16, 7, 12, 54, 28, 63, 1, 1, 1, .264, .316, .446, .763, 
2015, OAK, AL, 149, 582, 526, 67, 143, 25, 4, 20, 77, 49, 65, 10, 2, 0, .272, .333, .449, .781, 
2016, 2 Teams, 115, 439, 398, 53, 112, 17, 1, 10, 37, 39, 56, 8, 3, 0, .281, .345, .405, .749, 
2016, OAK, AL, 68, 272, 243, 33, 72, 11, 1, 8, 28, 28, 34, 5, 0, 0, .296, .368, .449, .816, 
2016, LAD, NL, 47, 167, 155, 20, 40, 6, 0, 2, 9, 11, 22, 3, 3, 0, .258, .307, .335, .643, 
2017, HOU, AL, 134, 540, 477, 77, 150, 34, 4, 13, 82, 43, 72, 7, 3, 0, .314, .363, .484, .847, 
2018, HOU, AL, 134, 487, 433, 63, 105, 13, 2, 17, 47, 49, 77, 7, 2, 0, .242, .318, .400, .718, 
2019, HOU, AL, 141, 550, 501, 57, 138, 19, 3, 14, 56, 36, 66, 5, 2, 0, .275, .319, .409, .728, 
2020, HOU, AL, 34, 130, 114, 13, 31, 9, 1, 2, 12, 14, 22, 0, 0, 0, .272, .349, .421, .770, 
12 Seasons, 1229, 4641, 4183, 573, 1103, 206, 33, 142, 543, 381, 740, 60, 18, 7, .264, .323, .431, .754, 
2009, BOS, AL, 62, 20, 23, 0, 0, .200, 6, 0, 9, 274, 4.419, .274, .032, .118, .169, .169, 0, 
2010, BOS, AL, 63, 20, 38, 0, 0, .239, 5, 1, 10, 218, 3.460, .238, .016, .067, .129, .129, 0, 
2011, BOS, AL, 278, 116, 112, 0, 4, .318, 28, 1, 44, 1066, 3.835, .180, .025, .380, .177, .177, 1, 
2012, OAK, AL, 673, 283, 298, 1, 4, .269, 66, 15, 97, 2672, 3.970, .224, .048, .364, .221, .221, 1, 
2013, OAK, AL, 441, 146, 176, 1, 7, .255, 33, 4, 55, 1794, 4.068, .195, .027, .535, .153, .153, 1, 
2014, OAK, AL, 396, 162, 162, 0, 3, .289, 35, 3, 62, 1428, 3.606, .159, .030, .444, .182, .182, 1, 
2015, OAK, AL, 582, 236, 215, 1, 2, .278, 49, 7, 96, 2296, 3.945, .112, .034, .754, .177, .177, 1, 
2016, 2 Teams, 439, 161, 152, 0, 1, .306, 28, 8, 53, 1721, 3.920, .128, .023, .696, .123, .123, 1, 
2016, OAK, AL, 272, 109, 79, 0, 1, .317, 20, 7, 34, 1104, 4.059, .125, .029, .824, .152, .152, 1, 
2016, LAD, NL, 167, 52, 73, 0, 0, .290, 8, 1, 19, 617, 3.695, .132, .012, .500, .077, .077, 0, 
2017, HOU, AL, 540, 231, 185, 1, 12, .339, 51, 9, 88, 2037, 3.772, .133, .024, .597, .170, .170, 0, 
2018, HOU, AL, 487, 173, 176, 1, 2, .258, 32, 9, 69, 1902, 3.906, .158, .035, .636, .157, .157, 0, 
2019, HOU, AL, 550, 205, 191, 1, 9, .288, 36, 9, 87, 1993, 3.624, .120, .025, .545, .134, .134, 0, 
2020, HOU, AL, 130, 48, 58, 0, 1, .319, 12, 3, 19, 533, 4.100, .169, .015, .636, .149, .149, 0, 
4641, 1801, 1786, 6, 45, .287, 381, 69, 689, 17934, 3.864, .159, .031, .515, .167, .167, 6, 
