2006, LAD, NL, 52, 166, 154, 30, 39, 7, 1, 7, 23, 9, 53, 6, 0, 0, .253, .289, .448, .737, 
2007, LAD, NL, 98, 311, 292, 47, 100, 12, 5, 10, 42, 16, 66, 10, 5, 0, .342, .373, .521, .894, 
2008, LAD, NL, 155, 657, 606, 93, 176, 38, 5, 18, 76, 46, 153, 35, 11, 1, .290, .340, .459, .799, 
2009, LAD, NL, 159, 667, 606, 97, 180, 25, 7, 26, 101, 52, 139, 34, 8, 3, .297, .352, .490, .842, 
2010, LAD, NL, 162, 668, 602, 82, 150, 25, 6, 28, 89, 53, 170, 19, 15, 4, .249, .310, .450, .760, 
2011, LAD, NL, 161, 689, 602, 115, 195, 33, 4, 39, 126, 74, 159, 40, 11, 6, .324, .399, .586, .986, 
2012, LAD, NL, 106, 449, 403, 74, 122, 22, 2, 23, 69, 40, 103, 9, 4, 3, .303, .367, .538, .906, 
2013, LAD, NL, 73, 290, 263, 35, 71, 15, 0, 6, 33, 22, 76, 9, 0, 2, .270, .328, .395, .723, 
2014, LAD, NL, 150, 599, 541, 77, 155, 38, 3, 25, 89, 52, 145, 8, 5, 0, .287, .346, .506, .852, 
2015, SD, NL, 154, 648, 596, 80, 158, 31, 3, 23, 100, 39, 147, 12, 2, 5, .265, .312, .443, .755, 
2016, 2 Teams, 156, 672, 623, 89, 167, 39, 0, 35, 108, 36, 156, 1, 0, 1, .268, .304, .499, .803, 
2016, SD, NL, 100, 431, 409, 54, 107, 24, 0, 23, 69, 16, 100, 0, 0, 0, .262, .285, .489, .774, 
2016, ATL, NL, 56, 241, 214, 35, 60, 15, 0, 12, 39, 20, 56, 1, 0, 1, .280, .336, .519, .855, 
2017, ATL, NL, 115, 467, 438, 47, 121, 23, 1, 19, 64, 27, 99, 0, 2, 0, .276, .318, .463, .781, 
2018, LAD, NL, 146, 506, 462, 62, 134, 25, 0, 21, 85, 36, 115, 0, 0, 1, .290, .338, .481, .818, 
2019, CIN, NL, 20, 62, 60, 4, 12, 2, 0, 1, 5, 1, 19, 0, 0, 0, .200, .210, .283, .493, 
2020, COL, NL, 29, 90, 79, 14, 19, 3, 0, 3, 15, 11, 22, 0, 0, 0, .241, .333, .392, .726, 
15 Seasons, 1736, 6941, 6327, 946, 1799, 338, 37, 284, 1025, 514, 1622, 183, 63, 26, .284, .337, .484, .821, 
2006, LAD, NL, 166, 69, 76, 0, 3, .330, 15, 1, 26, 663, 3.994, .319, .042, .170, .195, .195, 0, 
2007, LAD, NL, 311, 152, 117, 0, 3, .411, 27, 6, 57, 1106, 3.556, .212, .032, .242, .178, .178, 0, 
2008, LAD, NL, 657, 278, 258, 1, 3, .361, 61, 11, 101, 2460, 3.744, .233, .027, .301, .168, .168, 0, 
2009, LAD, NL, 667, 297, 275, 0, 6, .345, 58, 14, 109, 2650, 3.973, .208, .039, .374, .193, .193, 1, 
2010, LAD, NL, 668, 271, 285, 0, 9, .295, 59, 14, 72, 2645, 3.960, .254, .042, .312, .201, .201, 1, 
2011, LAD, NL, 689, 353, 246, 0, 7, .380, 76, 16, 112, 2704, 3.925, .231, .057, .465, .262, .262, 4, 
2012, LAD, NL, 449, 217, 146, 0, 3, .354, 47, 10, 73, 1756, 3.911, .229, .051, .388, .236, .236, 2, 
2013, LAD, NL, 290, 104, 135, 0, 3, .353, 21, 11, 53, 1094, 3.772, .262, .021, .289, .125, .125, 0, 
2014, LAD, NL, 599, 274, 242, 0, 6, .345, 66, 21, 79, 2298, 3.836, .242, .042, .359, .220, .220, 1, 
2015, SD, NL, 648, 264, 236, 0, 8, .311, 57, 17, 105, 2534, 3.910, .227, .035, .265, .178, .178, 0, 
2016, 2 Teams, 672, 311, 269, 0, 12, .297, 74, 17, 112, 2434, 3.622, .232, .052, .231, .231, .231, 0, 
2016, SD, NL, 431, 200, 159, 0, 6, .288, 47, 8, 70, 1559, 3.617, .232, .053, .160, .227, .227, 0, 
2016, ATL, NL, 241, 111, 110, 0, 6, .316, 27, 9, 42, 875, 3.631, .232, .050, .357, .238, .238, 0, 
2017, ATL, NL, 467, 203, 205, 0, 1, .318, 43, 25, 68, 1676, 3.589, .212, .041, .273, .187, .187, 1, 
2018, LAD, NL, 506, 222, 195, 0, 7, .339, 46, 14, 93, 1833, 3.623, .227, .042, .313, .190, .190, 1, 
2019, CIN, NL, 62, 17, 18, 0, 1, .268, 3, 2, 7, 231, 3.726, .306, .016, .053, .083, .083, 0, 
2020, COL, NL, 90, 31, 34, 0, 0, .296, 6, 4, 15, 364, 4.044, .244, .033, .500, .152, .152, 0, 
6941, 3063, 2737, 1, 72, .337, 659, 183, 1082, 26448, 3.810, .234, .041, .317, .200, .200, 11, 
